Time(Iteration),UCB1,egreedy_0.1,OurAlgorithm
0,6309,6561,6331
1,6167,6342,6348
2,6367,6267,6404
3,6440,6273,6418
4,6098,6372,6404
5,6319,6292,6357
6,6307,6236,6463
7,6252,6425,6415
8,6300,6339,6408
9,6215,6328,6490
10,6194,6213,6197
11,6339,6390,6344
12,6267,6280,6207
13,6164,6141,6344
14,6563,6326,6400
15,6187,6292,6405
16,6186,6349,6355
17,6279,6378,6363
18,6256,6273,6317
19,6409,6468,6395
20,6249,6320,6368
21,6393,6245,6175
22,6294,6305,6123
23,6147,6315,6412
24,6372,6356,6238
25,6238,6290,6293
26,6401,6306,6211
27,6201,6289,6531
28,6170,6279,6373
29,6464,6174,6316
30,6127,6337,6308
31,6283,6290,6343
32,6329,6235,6330
33,6406,6172,6361
34,6255,6252,6203
35,6352,6170,6398
36,6181,6309,6307
37,6218,6368,6279
38,6406,6537,6444
39,6246,6368,6385
40,6262,6361,6391
41,6260,6215,6209
42,6198,6160,6177
43,6342,6316,6303
44,6317,6438,6381
45,6316,6317,6265
46,6331,6252,6258
47,6503,6286,6214
48,6277,6494,6358
49,6269,6376,6413
50,6289,6239,6475
51,6316,6341,6450
52,6320,6405,6273
53,6220,5964,6183
54,6345,6272,6326
55,6540,6406,6314
56,6507,6289,6386
57,6141,6290,6152
58,6314,6194,6243
59,6220,6275,6199
60,6206,6189,6195
61,6200,6222,6377
62,6235,6435,6432
63,6210,6405,6190
64,6381,6091,6238
65,6394,6357,6219
66,6268,6348,6347
67,6268,6197,6409
68,6408,6356,6237
69,6409,6280,6179
70,6246,6333,6349
71,6263,6260,6435
72,6265,6232,6287
73,6343,6444,6277
74,6229,6293,6152
75,6319,6369,6094
76,6335,6128,6171
77,6439,6024,6387
78,6460,6238,6314
79,6213,6471,6483
80,6151,6358,6182
81,6391,6085,6197
82,6276,6328,6433
83,6186,6237,6313
84,6302,6210,6379
85,6265,6305,6310
86,6233,6428,6398
87,6341,6218,6424
88,6338,6252,6411
89,6444,6337,6422
90,6163,6339,6405
91,6356,6373,6232
92,6378,6294,6387
93,6366,6234,6244
94,6261,6429,6401
95,6363,6306,6290
96,6449,6387,6262
97,6446,6201,6377
98,6414,6164,6276
99,6375,6371,6418
100,6373,6239,6422
101,6268,6079,6156
102,6281,6156,6385
103,6411,6194,6311
104,6317,6352,6289
105,6135,6375,6279
106,6253,6263,6073
107,6200,6315,6396
108,6302,6286,6213
109,6142,6442,6263
110,6261,6402,6440
111,6292,6146,6359
112,6337,6301,6386
113,6327,6319,6288
114,6293,6262,6357
115,6423,6190,6273
116,6398,6272,6274
117,6255,6394,6247
118,6472,6268,6408
119,6471,6284,6363
120,6301,6251,6356
121,6271,6310,6349
122,6289,6395,6355
123,6293,6253,6358
124,6480,6255,6217
125,6428,6336,6400
126,6271,6350,6183
127,6372,6210,6264
128,6391,6409,6248
129,6271,6300,6255
130,6391,6376,6289
131,6331,6198,6248
132,6234,6239,6142
133,6287,6189,6320
134,6431,6361,6272
135,6407,6254,6330
136,6463,6243,6368
137,6293,6444,6314
138,6333,6172,6428
139,6401,6114,6508
140,6214,6141,6247
141,6189,6448,6215
142,6345,6246,6206
143,6197,6176,6247
144,6346,6559,6439
145,6264,6215,6156
146,6292,6150,6361
147,6453,6157,6081
148,6510,6131,6335
149,6263,6166,6408
150,6455,6142,6448
151,6322,6321,6242
152,6216,6359,6353
153,6321,6486,6171
154,6261,6249,6359
155,6457,6345,6310
156,6289,6315,6304
157,6337,6335,6251
158,6281,6264,6231
159,6329,6397,6479
160,6366,6469,6300
161,6446,6196,6419
162,6495,6266,6208
163,6157,6372,6284
164,6542,6187,6288
165,6368,6427,6318
166,6220,6285,6182
167,6397,6203,6138
168,6364,6293,6356
169,6584,6305,6219
170,6391,6142,6339
171,6346,6131,6289
172,6460,6340,6266
173,6252,6235,6604
174,6305,6316,6281
175,6467,6422,6369
176,6292,6297,6555
177,6270,6201,6449
178,6360,6314,6365
179,6358,6294,6346
180,6276,6177,6240
181,6253,6123,6326
182,6154,6349,6372
183,6337,6533,6373
184,6394,6384,6466
185,6309,6187,6498
186,6318,6281,6206
187,6338,6227,6459
188,6373,6352,6459
189,6457,6269,6172
190,6356,6199,6178
191,6364,6305,6221
192,6308,6260,6411
193,6370,6392,6274
194,6320,6278,6244
195,6185,6131,6272
196,6251,6288,6360
197,6242,6289,6277
198,6344,6353,6465
199,6221,6248,6118
